"draw","procrustes_R"
1,0.0824305002554182
2,0.0937172771571268
3,0.0418687089841637
4,0.23195028955274
5,0.0938101803730883
6,0.168475913253402
7,0.102000798254798
8,0.131470017112379
9,0.13642317042708
10,0.103037765534017
11,0.0830374875080454
12,0.0963753717408924
13,0.144038897659786
14,0.0510589275096649
15,0.112934199718755
16,0.117819185926764
17,0.200995560714184
18,0.180649885739486
19,0.0951566932739117
20,0.099358609674438
21,0.134140893063307
22,0.0712940803417654
23,0.215762891327074
24,0.168099836747851
25,0.185642223098989
26,0.0779653030646038
27,0.161954843409957
28,0.134816659637698
29,0.129921529326434
30,0.150526513987776
31,0.19625353839279
32,0.0628553648883249
33,0.159579399161963
34,0.133789853177551
35,0.224273573241471
36,0.102735687131603
37,0.14197703469279
38,0.109278187931776
39,0.107193585990101
40,0.151916771265931
41,0.0619157832447436
42,0.062505540582285
43,0.0983565109781007
44,0.133643261659251
45,0.0952794374578315
46,0.123716030467715
47,0.107556393831795
48,0.156757008469959
49,0.208053964619085
50,0.108284888183064
51,0.0954976121625949
52,0.1420843637196
53,0.0671348476595127
54,0.110119955222779
55,0.106153492947708
56,0.134260895735228
57,0.138898772894255
58,0.269639868257777
59,0.0335305396753979
60,0.218288630436795
61,0.0826608244932528
62,0.152679313004706
63,0.0552857823724962
64,0.134976041354004
65,0.171891504109712
66,0.0803491441138825
67,0.184898642732477
68,0.106104577840449
69,0.122844201921618
70,0.190001116297082
71,0.148114719339959
72,0.0884612489147464
73,0.111187756634182
74,0.100349676401671
75,0.128252566376261
76,0.131866859026708
77,0.085410376711279
78,0.130310938523716
79,0.0727013558851626
80,0.107106894757654
81,0.160467381390822
82,0.104148460725954
83,0.175316151044481
84,0.203981487608577
85,0.126847025810239
86,0.141849003585726
87,0.118303197077825
88,0.101500611764762
89,0.153310293410698
90,0.124550339244199
91,0.0611404988826599
92,0.126773381660221
93,0.0777506686067211
94,0.200387511647527
95,0.192263907078361
96,0.130278267847242
97,0.053581627157241
98,0.111376168143206
99,0.108374879860751
100,0.0993705203016028
101,0.108029181103267
102,0.0416519041158413
103,0.0710956110327293
104,0.149043302456572
105,0.102322606624549
106,0.156003667066725
107,0.141558242401892
108,0.0598055456954961
109,0.185452414829565
110,0.123502486999686
111,0.165544566473564
112,0.19643148475051
113,0.12403152401885
114,0.13743980910904
115,0.120085219712423
116,0.038821955754724
117,0.164051260521618
118,0.0783421557176405
119,0.174973338324295
120,0.130872036701384
121,0.0858870165832052
122,0.124420860273255
123,0.114189433081212
124,0.0986335304187336
125,0.0757634143130759
126,0.0558651846784232
127,0.15773830330451
128,0.0903336493405082
129,0.131562415018066
130,0.102352666384182
131,0.128743112308554
132,0.10950517563933
133,0.080301234394005
134,0.0558165340386397
135,0.168409179282012
136,0.0696169427791563
137,0.112759778749367
138,0.112206324188401
139,0.0706778004992634
140,0.110247613916746
141,0.100163427510012
142,0.0630036985377899
143,0.105011863406919
144,0.0910717965402636
145,0.109283317515726
146,0.135610444677116
147,0.100291084597785
148,0.0752330391718476
149,0.119447988980044
150,0.125382990406257
151,0.163523563461949
152,0.278357899608069
153,0.17599734360803
154,0.162405690433414
155,0.213884111758566
156,0.0886174207956835
157,0.109327880399088
158,0.136432849580837
159,0.09288333621202
160,0.15728368900918
161,0.181639434997449
162,0.0590500716982567
163,0.13367095351631
164,0.152778543213761
165,0.115320961292229
166,0.157256705396761
167,0.106989676480564
168,0.0456474458131103
169,0.128146011443797
170,0.163281498806738
171,0.0921832335837784
172,0.160488136962892
173,0.098237679799606
174,0.0631330241477264
175,0.117371065594977
176,0.0989034374187162
177,0.0940390151142314
178,0.139811891732339
179,0.146015809274957
180,0.151976323371051
181,0.0551022413269292
182,0.054955191458216
183,0.0968164264414665
184,0.0731389841385983
185,0.108377429257899
186,0.0993551387375256
187,0.118303348195258
188,0.125189473495115
189,0.0464284937985978
190,0.0765064250863143
191,0.0554796005705908
192,0.128058657422805
193,0.105736667206307
194,0.0805529181225211
195,0.209293726333718
196,0.0747359868511822
197,0.0816401362830297
198,0.165046686565281
199,0.140413635615389
200,0.108277910609593
